2.442;6;80.0;14:33;11/02/23
2.05;27;81.6;14:36;11/02/23
4.925;16;87.7;14:37;11/02/23
3.147;0;100.0;14:46;11/02/23
3.147;0;100.0;14:46;11/02/23
3.147;0;100.0;14:46;11/02/23
6.142;31;89.9;16:47;11/02/23
2.442;6;80.0;14:33;11/02/23
2.05;27;81.6;14:36;11/02/23
4.925;16;87.7;14:37;11/02/23
3.147;0;100.0;14:46;11/02/23
3.147;0;100.0;14:46;11/02/23
3.147;0;100.0;14:46;11/02/23
6.142;31;89.9;16:47;11/02/23
2.442;6;80.0;14:33;11/02/23
2.05;27;81.6;14:36;11/02/23
4.925;16;87.7;14:37;11/02/23
3.147;0;100.0;14:46;11/02/23
3.147;0;100.0;14:46;11/02/23
3.147;0;100.0;14:46;11/02/23
6.142;31;89.9;16:47;11/02/23
4.838;10;91.9;19:05;11/02/23
0.031;29;81.89999999999999;19:33;11/02/23
0.019;17;90.10000000000001;20:01;11/02/23
4.14;79;81.5;21:38;11/02/23
5.181;48;69.6;21:39;11/02/23
5.353;13;89.8;21:41;11/02/23
5.403;33;78.4;21:43;11/02/23
3.304;105;52.1;21:46;11/02/23
5.111;34;71.89999999999999;21:47;11/02/23
4.877;30;80.0;21:48;11/02/23
3.475;136;46.9;21:52;11/02/23
3.166;118;61.7;21:57;11/02/23
2.107;18;91.0;21:59;11/02/23
2.559;38;81.5;22:01;11/02/23
7.237;2;98.4;22:34;11/02/23
